genus,species,reference,BPBM,SVL,toe_length,toe_webbing,IO_space,tympanum,palate,cartilaginous,ligamentous,pupil_horizontal,teeth,two_palate_folds,honk_call,whinny_call,rattle_call,peeping_call
Oreophryne,inornata,Kraus_2016,16220,32.5,1,2,2,1,0,0,3,3,0,3,3,0,0,0
Oreophryne,inornata,,16233,39.4,1,2,2,1,1,0,3,3,0,3,3,0,0,0
Oreophryne,inornata,,16228,39.1,1,3,2,1,0,0,3,3,0,3,3,0,0,0
Oreophryne,inornata,,16230,33.3,2,3,1,1,1,0,3,3,0,3,3,0,0,0
Oreophryne,inornata,,16248,37.2,2,2,1,1,1,0,3,3,0,3,3,0,0,0
Oreophryne,lemur,Kraus_2016,18507,25.5,2,1,2,1,1,0,3,3,0,3,3,0,0,0
Oreophryne,lemur,,18509,25.3,2,1,2,1,1,0,3,3,0,3,3,0,0,0
Oreophryne,loriae,Kraus_2016,22538,22.7,1,3,1,2,0,0,3,3,0,3,3,0,0,0
Oreophryne,loriae,,47656,26.1,1,2,2,1,1,0,3,3,0,3,3,0,0,0
Oreophryne,loriae,,22539,24.7,1,3,1,1,2,0,3,3,0,3,3,0,0,0
Oreophryne,loriae,,27488,25.9,1,3,1,1,1,0,3,3,0,3,3,0,0,0
Oreophryne,loriae,,22537,25,1,2,2,1,0,0,3,3,0,3,3,0,0,0
Oreophryne,notata,Zweifel_2003,33697,17.1,0,0,2,1,0,3,0,3,0,3,0,0,0,3
Oreophryne,notata,,33772,18.4,1,0,1,1,2,3,0,3,0,3,0,0,0,3
Oreophryne,notata,,33706,18.6,1,0,2,2,2,3,0,3,0,3,0,0,0,3
Oreophryne,notata,,33674,19.5,2,0,3,2,1,3,0,3,0,3,0,0,0,3
Oreophryne,notata,,33673,17.2,1,0,2,1,0,3,0,3,0,3,0,0,0,3
Oreophryne,parkeri,Loveridge_1955,31472,23.4,2,2,2,2,0,0,3,3,0,3,0,0,0,3
Oreophryne,parkeri,call_source_(Kraus_2013),34647,21.5,1,2,2,1,1,0,3,3,0,3,0,0,0,3
Oreophryne,parkeri,,34648,24.2,1,2,2,2,2,0,3,3,0,3,0,0,0,3
Oreophryne,parkeri,,34649,22.5,1,2,1,1,2,0,3,3,0,3,0,0,0,3
Oreophryne,parkeri,,22785,24.5,1,2,2,1,1,0,3,3,0,3,0,0,0,3
Oreophryne,biroi,Mehely_1897,23484,27.3,1,2,2,1,0,0,3,3,0,3,0,0,3,0
Oreophryne,biroi,call_source_(Kraus_2013),23483,30.5,1,2,0,1,1,0,3,3,0,3,0,0,3,0
Oreophryne,biroi,,23481,28.3,2,2,1,1,1,0,3,3,0,3,0,0,3,0
Oreophryne,biroi,,34690,22.4,2,2,1,1,0,0,3,3,0,3,0,0,3,0
Oreophryne,biroi,,23485,29,2,2,1,1,2,0,3,3,0,3,0,0,3,0
Auparoparo,penelopeia,Kraus_2016,42016,22.8,0,3,1,1,1,0,3,3,0,3,0,3,0,0
Auparoparo,penelopeia,,42015,22.2,1,2,0,1,1,0,3,3,0,3,0,3,0,0
Auparoparo,penelopeia,,42014,21,1,3,0,1,2,0,3,3,0,3,0,3,0,0
Auparoparo,penelopeia,,42017,20.8,1,2,1,1,1,0,3,3,0,3,0,3,0,0
Auparoparo,penelopeia,,42018,22.5,1,3,0,1,0,0,3,3,0,3,0,3,0,0
Auparoparo,insulana,Zweifel_1956,16547,21.8,2,1,1,1,0,0,3,3,0,3,0,3,0,0
Auparoparo,insulana,call_source_(Kraus_2016),16546,21.4,1,1,1,1,0,0,3,3,0,3,0,3,0,0
Auparoparo,insulana,,16549,16.9,1,1,1,1,3,0,3,3,0,3,0,3,0,0
Auparoparo,insulana,,16119,23.3,1,1,2,2,2,0,3,3,0,3,0,3,0,0
Auparoparo,insulana,,16548,21.3,1,1,1,1,1,0,3,3,0,3,0,3,0,0
Auparoparo,phoebe,kraus_2017,39522,25.3,3,2,1,1,2,3,0,3,0,3,0,3,0,0
Auparoparo,phoebe,,39521,27.7,2,2,1,2,2,3,0,3,0,3,0,3,0,0
Auparoparo,phoebe,,39523,25,1,1,2,1,1,3,0,3,0,3,0,3,0,0
Auparoparo,phoebe,,39517,24.5,1,1,2,2,0,3,0,3,0,3,0,3,0,0
Auparoparo,phoebe,,39526,26.7,1,2,2,1,3,3,0,3,0,3,0,3,0,0
Auparoparo,picticrus,kraus_2016,18146,27.8,1,1,1,2,1,0,3,3,0,3,0,3,0,0
Auparoparo,picticrus,,18145,29.2,1,1,1,2,2,0,3,3,0,3,0,3,0,0
Auparoparo,picticrus,,18130,27,2,1,1,1,1,0,3,3,0,3,0,3,0,0
Auparoparo,picticrus,,18125,26.3,1,2,2,2,1,0,3,3,0,3,0,3,0,0
Auparoparo,picticrus,,18163,26.3,1,1,1,1,2,0,3,3,0,3,0,3,0,0
Auparoparo,matawan,Kraus_2016,17978,18.2,1,1,2,1,2,0,3,3,0,3,0,0,3,0
Auparoparo,matawan,,17980,19.7,1,1,1,2,2,0,3,3,0,3,0,0,3,0
Auparoparo,matawan,,17984,17.5,1,1,1,1,2,0,3,3,0,3,0,0,3,0
Auparoparo,matawan,,17979,18.4,1,1,1,1,1,0,3,3,0,3,0,0,3,0
Auparoparo,matawan,,17983,17.4,1,1,2,1,1,0,3,3,0,3,0,0,3,0
